"Gene","CV","Avg_Correlation","Combined_Score"
"139728",1.47431140289737,0.180581179623741,0.266232892267939
"84063",1.65571893500592,0.156888115686616,0.259762623819729
"3219",1.50105864325665,0.169244259714641,0.254045558866236
"84634",1.49042930556439,0.169182180826799,0.252154080283555
"4747",1.66114601351857,0.151477059994253,0.251625514348966
"655",1.58015333076458,0.154184078835192,0.243634485722296
"7425",1.55113840408866,0.155574386866521,0.241317406161208
"10562",1.55735268820308,0.151558074616384,0.236029374922709
"7368",1.35619596076513,0.171851053356178,0.233063704414881
"3359",1.53102490131769,0.152122415274055,0.232903205833169
"1015",1.31118246589777,0.177576002766669,0.23283454119187
"8091",1.40754832582028,0.164678440604042,0.231792863370913
"11227",1.3998437924558,0.165574527713404,0.23177847480841
"64208",1.67480112552308,0.138138177395279,0.23135397497932
"92737",1.60557243257531,0.14378723890807,0.230860826946918
"81706",1.28056939065053,0.179725634980809,0.230151146871653
"2902",1.40539959263443,0.163468081041479,0.229737974504427
"51208",1.34916543684663,0.167746009076019,0.226317117614325
"80258",1.50568097145131,0.149987008518364,0.225832584691007
"6528",1.44735533040372,0.154937005039348,0.224248900120489
"8120",1.4559605084037,0.153210317368073,0.223068171567912
"10942",1.4751238612205,0.151175401554365,0.223002442062435
"8193",1.37855915716261,0.161301003174672,0.222362974985959
"10021",1.33433424765504,0.165724920052931,0.22113243651652
"10332",1.4153687190007,0.155227477175435,0.219704115523506
"7031",1.50186905454797,0.143704867126366,0.215825892925016
"374407",1.30371454577009,0.164398666491142,0.214328932809708
"125965",1.35658096578834,0.15741695925407,0.21354885061635
"165545",1.35046875752204,0.156444854850931,0.211273888751252
"51146",1.51319225093698,0.139156341768468,0.210570298032784
"8913",1.30427665440495,0.161049944762693,0.210053683147187
"26762",1.30665677596433,0.160250076611487,0.209391848453204
"1474",1.36811678534806,0.152928737488641,0.209224372720297
"1113",1.58656534406631,0.131810601565638,0.209126132424573
"152404",1.31695802044113,0.158708513194641,0.209012449363969
"2020",1.43313995376865,0.14582748758213,0.208991198811652
"2297",1.28005154297495,0.161967159574276,0.207326312524321
"225689",1.28956594403844,0.160459293333349,0.20692284008716
"3223",1.28923419684644,0.160131681338465,0.206447239580067
"6549",1.36783484774702,0.150841650004958,0.206326465368441
"84929",1.32604759200663,0.155454670124014,0.206140290984134
"89872",1.45221147397933,0.14150613282523,0.205496829727241
"3866",1.45263230780243,0.141398902899473,0.205400614639594
"400823",1.37828664636065,0.147932908548419,0.203893952409577
"794",1.30189151329495,0.155680859745811,0.202679590085534
"8538",1.3195397071377,0.153527622993068,0.20258579468182
"51252",1.55685642914263,0.12942688100158,0.201499071791187
"22871",1.45280830388876,0.138087177110321,0.200614197566432
"7032",1.45525240548113,0.137557081468708,0.200180273698301
"3225",1.38429485861967,0.144364251736814,0.199842691447746
"339855",1.4957330816713,0.132751328194095,0.198560553215712
"7483",1.28376319496735,0.154637626658363,0.198518093661108
"3222",1.50291858188438,0.131874699951561,0.198196937037628
"51761",1.29230016925822,0.152916064711074,0.197613456308422
"389384",1.41636669455104,0.137783734966216,0.195152293256996
"4111",1.53012010741967,0.127472000884515,0.195047471686414
"401562",1.47359984758982,0.132131887559151,0.19470952936892
"54854",1.30589279260968,0.148145993879941,0.193462785661813
"5083",1.40840436528901,0.136779182413364,0.192640397591644
"1272",1.53415818639164,0.12546859016525,0.192488664737036
"56301",1.2781864049591,0.149287146149139,0.190816800642973
"3218",1.40214715495563,0.135831662163472,0.190455978655407
"11148",1.4310386394937,0.132965514925258,0.190278789578221
"9348",1.33696355583326,0.142105763946745,0.189990227470643
"3381",1.29163462559414,0.146928284960948,0.189777660334724
"7278",1.59803225185737,0.117231024707818,0.187338958401381
"956",1.27800421376458,0.14652749494532,0.187262755972486
"644809",1.32823965914485,0.140863347894712,0.187100285193675
"4680",1.33717136661918,0.13982107261259,0.186964734747536
"3208",1.30180164316573,0.143612132498168,0.18695451006465
"9506",1.43853938844205,0.129607967599143,0.186446166447287
"222",1.40221639410718,0.131779956764006,0.184784015789224
"146336",1.33633083451072,0.138209366667067,0.1846934382954
"2813",1.45786002805792,0.126201112503338,0.183983557415056
"26038",1.28712331741598,0.142285051953724,0.183138408089383
"10886",1.41148722924956,0.129547502954118,0.182854646000908
"90342",1.37251677153093,0.132363397370712,0.181670982828116
"10232",1.55002813303099,0.11718095666549,0.181633779486995
"7179",1.53698707997544,0.118026534791037,0.181405259068095
