"Gene","VIF","CV","cv_cluster","vif_cluster","CV_Level","VIF_Level","Category"
"3747",1.07726401910339,1.44665015297449,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"118611",1.37699357087308,1.44642827637398,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"51725",7.61350517526507,1.44609258714814,1,1,"High_CV","Medium_VIF","High_CV + Medium_VIF"
"114824",1.76947207786741,1.44447418231105,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"440563",3.75959406333509,1.44389831349841,1,1,"High_CV","Medium_VIF","High_CV + Medium_VIF"
"4504",1.36868075999501,1.44379440341516,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"6101",1.02880712235317,1.44015061122722,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"114815",2.59312310650401,1.43973385277656,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"1258",1.38115666053066,1.43951713676041,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"9506",1.05658992367238,1.43853938844205,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"3763",1.03956771416643,1.43680376158714,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"2899",1.19185230578111,1.43413668966719,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"2020",1.50246885221914,1.43313995376865,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"11148",1.18486896249274,1.4310386394937,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"145258",1.14605645750099,1.43019088887317,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"29850",1.09868788226064,1.42930671578705,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"181",1.27605412765481,1.42834911797948,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"5063",3.4383870145676,1.42823820805794,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"133558",1.12794168763286,1.42688368898525,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"6975",1.09810616069925,1.42395434600327,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"779",1.32141886115194,1.4183006924451,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"2254",8.14299207356691,1.41668914786184,1,1,"High_CV","Medium_VIF","High_CV + Medium_VIF"
"389384",1.2007549228017,1.41636669455104,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"10332",1.72432480766985,1.4153687190007,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"269",4.14136466363296,1.413381833297,1,1,"High_CV","Medium_VIF","High_CV + Medium_VIF"
"10886",1.47523027905813,1.41148722924956,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"3854",1.08875327989917,1.41017846064921,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"5083",1.6582051007716,1.40840436528901,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"8091",3.05233439208455,1.40754832582028,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"401250",1.07828263746407,1.40694375561573,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"23544",2.56996205427674,1.4065001066923,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"284293",1.33685294887607,1.40589239268631,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"2902",1.84682339148616,1.40539959263443,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"149954",1.13122396905984,1.40505005428481,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"419",1.11401999425992,1.40338954337112,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"222",1.91722177078997,1.40221639410718,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"3218",2.05651563676323,1.40214715495563,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"11227",4.20996873175173,1.3998437924558,1,1,"High_CV","Medium_VIF","High_CV + Medium_VIF"
"162998",1.21202965359876,1.39981791894888,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"5122",1.07640494605832,1.396045606677,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"92235",1.45846204993985,1.39598098656594,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"284525",1.43262444877646,1.39460371780512,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"199713",2.39787364515442,1.39438175482637,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"200150",6.30850024928994,1.39228667907872,1,1,"High_CV","Medium_VIF","High_CV + Medium_VIF"
"171022",1.11656959989299,1.3910123977276,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"3207",1.37069858070646,1.38913195227532,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"157310",1.26157020558931,1.3885570298446,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"55567",1.04528367315567,1.38764641419077,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"55531",1.82308654716031,1.38638608959973,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"158511",1.28684574526566,1.38552712427724,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"3225",1.56774701713385,1.38429485861967,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"284434",1.06191150668472,1.3790903834435,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"8193",2.52983748778855,1.37855915716261,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"399888",4.8885012154912,1.37840038293846,1,1,"High_CV","Medium_VIF","High_CV + Medium_VIF"
"400823",3.37196412966888,1.37828664636065,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"4477",1.02514900316164,1.37435527651768,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"340206",1.27620314224252,1.37300309628994,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"90342",1.33581578572392,1.37251677153093,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"220382",3.47260666612968,1.37170877736526,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"89766",1.07540672600952,1.36923246184187,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"133396",3.61664581966309,1.36903100741861,1,1,"High_CV","Medium_VIF","High_CV + Medium_VIF"
"1474",1.79899484351736,1.36811678534806,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"10804",1.24140622972519,1.36798812484669,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"6549",1.59387513466762,1.36783484774702,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"284680",1.0982146140164,1.36550597205817,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"149685",1.48855253546838,1.36544035059765,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"6663",1.08386517976296,1.36458125019231,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"677779",1.34625363802788,1.36259295889431,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
"54094",3.41712686450619,1.3625195083462,1,2,"High_CV","Low_VIF","High_CV + Low_VIF"
