"Gene","CV"
"64208",1.67480112552308
"4747",1.66114601351857
"84063",1.65571893500592
"50632",1.65026141294923
"93426",1.60643110659926
"92737",1.60557243257531
"7278",1.59803225185737
"1113",1.58656534406631
"81033",1.58117360723018
"655",1.58015333076458
"90632",1.57853580855001
"2913",1.56232503667852
"10562",1.55735268820308
"51252",1.55685642914263
"7425",1.55113840408866
"10232",1.55002813303099
"6866",1.54386222762699
"10321",1.53905509076963
"57094",1.53798340085307
"3769",1.53778713577048
"51207",1.53742748794581
"7179",1.53698707997544
"1272",1.53415818639164
"343263",1.53231750171715
"3359",1.53102490131769
"4111",1.53012010741967
"793",1.52244961275144
"7047",1.51362276633008
"51146",1.51319225093698
"1280",1.5112884197994
"80258",1.50568097145131
"3222",1.50291858188438
"7031",1.50186905454797
"3219",1.50105864325665
"2676",1.50104448818574
"339855",1.4957330816713
"84634",1.49042930556439
"127534",1.49014733544963
"253868",1.48817205176432
"78997",1.48629264759702
"26074",1.48142719405436
"10942",1.4751238612205
"139728",1.47431140289737
"401562",1.47359984758982
"1081",1.47147989171784
"9543",1.46851927107925
"1114",1.46837617653876
"5196",1.46474836269871
"248",1.4635140003552
"340273",1.45887659035633
"89780",1.45814994955492
"341405",1.45807818917294
"2813",1.45786002805792
"8120",1.4559605084037
"7032",1.45525240548113
"22871",1.45280830388876
"3866",1.45263230780243
"89872",1.45221147397933
"6708",1.45013129151938
"654463",1.44786417788832
"1135",1.44741872664526
"6528",1.44735533040372
"375323",1.44690918699307
"3747",1.44665015297449
"118611",1.44642827637398
"51725",1.44609258714814
"114824",1.44447418231105
"440563",1.44389831349841
"4504",1.44379440341516
"6101",1.44015061122722
"114815",1.43973385277656
"1258",1.43951713676041
"9506",1.43853938844205
"3763",1.43680376158714
"2899",1.43413668966719
"2020",1.43313995376865
"11148",1.4310386394937
"145258",1.43019088887317
"29850",1.42930671578705
"181",1.42834911797948
"5063",1.42823820805794
"133558",1.42688368898525
"6975",1.42395434600327
"779",1.4183006924451
"2254",1.41668914786184
"389384",1.41636669455104
"10332",1.4153687190007
"269",1.413381833297
"10886",1.41148722924956
"3854",1.41017846064921
"5083",1.40840436528901
"8091",1.40754832582028
"401250",1.40694375561573
"23544",1.4065001066923
"284293",1.40589239268631
"2902",1.40539959263443
"149954",1.40505005428481
"419",1.40338954337112
"222",1.40221639410718
"3218",1.40214715495563
"11227",1.3998437924558
"162998",1.39981791894888
"5122",1.396045606677
"92235",1.39598098656594
"284525",1.39460371780512
"199713",1.39438175482637
"200150",1.39228667907872
"171022",1.3910123977276
"3207",1.38913195227532
"157310",1.3885570298446
"55567",1.38764641419077
"55531",1.38638608959973
"158511",1.38552712427724
"3225",1.38429485861967
"284434",1.3790903834435
"8193",1.37855915716261
"399888",1.37840038293846
"400823",1.37828664636065
"4477",1.37435527651768
"340206",1.37300309628994
"90342",1.37251677153093
"220382",1.37170877736526
"89766",1.36923246184187
"133396",1.36903100741861
"1474",1.36811678534806
"10804",1.36798812484669
"6549",1.36783484774702
"284680",1.36550597205817
"149685",1.36544035059765
"6663",1.36458125019231
"677779",1.36259295889431
"54094",1.3625195083462
"148198",1.35957078504189
"285629",1.35879397627087
"125965",1.35658096578834
"7368",1.35619596076513
"401409",1.35487719671918
"143241",1.35470475679917
"165545",1.35046875752204
"138046",1.34921016330906
"51208",1.34916543684663
"728358",1.34883855821671
"9427",1.34879825947506
"2070",1.34692431836144
"284312",1.34426695001442
"390792",1.34349665656896
"1991",1.34329237560279
"2561",1.34311958866167
"1745",1.34304470370842
"149563",1.34205634776549
"105",1.33964768291785
"1136",1.33931887779422
"1770",1.3377556014309
"4680",1.33717136661918
"9348",1.33696355583326
"146336",1.33633083451072
"94027",1.33542482761383
"83546",1.3354028920354
"10021",1.33433424765504
"6657",1.32975811064593
"6003",1.32954450712139
"285601",1.32838733417531
"644809",1.32823965914485
"154197",1.32773911322066
"84929",1.32604759200663
"4105",1.32555745867079
"2980",1.32479886115612
"1469",1.3231148981761
"125931",1.32241328714762
"138240",1.32194971008523
"145270",1.32140310331118
"390226",1.32005629680091
"4102",1.32005206848585
"8538",1.3195397071377
"7379",1.31891889436738
"92291",1.31813791795383
"152404",1.31695802044113
"64102",1.31615805822134
"1404",1.3157125555303
"2829",1.31532592183457
"7306",1.31449626463683
"90527",1.31435489616141
"285768",1.31423263317693
"55130",1.31400878178718
"2668",1.31341437270997
"400696",1.31308499120871
"1015",1.31118246589777
"91156",1.31086974660921
"57110",1.31067885170642
"2516",1.31048227924733
"401285",1.30982304726451
"56000",1.30944203027534
"166979",1.30837523326581
"54596",1.3080211232334
"26762",1.30665677596433
"54854",1.30589279260968
"27283",1.30565375376091
"79025",1.30485001317347
"8913",1.30427665440495
"146771",1.30413170903958
"374407",1.30371454577009
"339302",1.3035817120751
"440050",1.30325672246636
"284578",1.30253136784497
"389816",1.30210797071738
"8468",1.30205711974665
"794",1.30189151329495
"3208",1.30180164316573
"29895",1.30131392529736
"100130418",1.30080776296182
"9503",1.30047277783119
"54577",1.3002224511777
"387715",1.29995131168515
"85413",1.29926495331756
"84931",1.29754620697432
"56884",1.29740996419476
"340706",1.29740743662178
"6327",1.29706717576634
"221883",1.29576018272532
"79853",1.29547914263032
"79258",1.29437247771582
"51761",1.29230016925822
"54575",1.29188563234741
"3381",1.29163462559414
"8788",1.29028383967371
"225689",1.28956594403844
"89",1.28935882066004
"3223",1.28923419684644
"1232",1.28861544842123
"285093",1.28810272149549
"5457",1.28806930376346
"797",1.28788461045641
"85235",1.28717747664674
"26038",1.28712331741598
"54033",1.28516499095365
"574028",1.28495151149762
"7483",1.28376319496735
"440508",1.28365647146147
"946",1.28359266046772
"254528",1.28322449125541
"7101",1.28121795326372
"81706",1.28056939065053
"2297",1.28005154297495
"145241",1.27908415765348
"391712",1.27884859419796
"56301",1.2781864049591
"956",1.27800421376458
"9074",1.27791884916916
"6423",1.27739633151922
"29106",1.27556924655783
"3047",1.27554760510078
"132946",1.2755209626954
"153328",1.27467343116356
"1755",1.27431621966948
"1132",1.27426519635382
"723809",1.27370568539242
"79570",1.27344976137274
"85329",1.27250864232458
"1002",1.27229713929395
"10911",1.27213377634088
"5967",1.2706096673256
"90167",1.26996862471373
"8521",1.26994365030764
"8170",1.26829972337739
"767811",1.26749907510907
"84189",1.26739657596678
"6854",1.26691064712879
"7138",1.26617746496835
"338645",1.2653437824886
"348840",1.26435998357763
"1950",1.26432751935584
"56146",1.2638973748396
"6756",1.26385925457117
"56159",1.26328889239175
"70",1.26235197145834
"11036",1.26155997437482
"5655",1.26154292368447
"7222",1.2610360384792
"1588",1.26010357942962
"9496",1.25986124877254
"579",1.25979789159945
"121355",1.25883374392718
"340533",1.25857308632962
"10753",1.2579205088188
"8345",1.25690163090719
"340267",1.25590261935694
"130813",1.25562270046476
"388512",1.25450804091578
"340069",1.25442484619092
"7022",1.25388172529624
"29986",1.25336492465776
"158297",1.25257614452106
"203562",1.2522410962915
"566",1.25172427645793
"5251",1.2512055700405
"6521",1.24944163309759
"5798",1.24915229138943
"23217",1.24810232535507
"23532",1.24792452673223
"4009",1.24774667462066
"238",1.2463507224562
"5473",1.24589814866855
"283971",1.24556769766964
"164045",1.24521985906469
"440356",1.24458473173247
"84465",1.24388285958394
"677775",1.24330097284843
"285668",1.24215959836616
"348825",1.24167539477113
"57528",1.24092081109831
"1749",1.24075207907958
"84658",1.24037127425882
"83482",1.23919411545726
"164118",1.23893691195996
"347252",1.23882587114667
"6530",1.23857861156324
"6331",1.23848607345753
"5068",1.238212176524
"9362",1.23693695972111
"440560",1.23691275954649
"29797",1.23644254223687
"10803",1.23442651395711
"51481",1.23361631770864
"1134",1.2332976092269
"3356",1.2329160751752
"149233",1.23284746397306
"6492",1.23280959510348
"284749",1.23195648354755
"132332",1.23102791854192
"5197",1.230800891097
"729759",1.2302446269556
"548596",1.22976368760095
"8618",1.22950000128189
"124857",1.22845965868089
"56120",1.22818037174884
"55530",1.22801893525302
"4246",1.22781315638831
"55287",1.22671756479332
"8601",1.22665379734506
"440184",1.22656075638934
"346171",1.22566802842491
"283392",1.22518279402489
"255352",1.22431049573387
"56136",1.22404466592103
"51438",1.22346107339271
"27285",1.22342171949596
"29943",1.22147768410232
"1380",1.22147213618258
"400258",1.2212893973852
"27198",1.21926424005781
"5146",1.21876426199111
"60675",1.21806039169186
"56135",1.21683002469034
"55545",1.21396166339631
"56245",1.21392316524368
"84239",1.21386957162438
"284788",1.21374575231038
"140578",1.21290134203969
"392862",1.21260450600472
"57565",1.21249253086112
"23430",1.21074563429184
"2204",1.20964628186772
"6833",1.20749479528045
"286554",1.2062054278705
"3758",1.2052932624239
"729993",1.20520634475169
"647859",1.20485519630689
"5816",1.20475722250563
"51440",1.2042636872193
"3013",1.20388360964744
"4622",1.203677553224
"255275",1.20361708653496
"257240",1.20313900158548
"100130449",1.20261817622828
"728747",1.20240045773119
"1825",1.20207227348866
"2301",1.20126772375243
"26050",1.20123939070756
"158401",1.20098584686988
"25830",1.19934872582633
"6534",1.19891686788783
"3746",1.19882989550244
"338339",1.1986493852272
"10551",1.19750503354
"6664",1.19726850979134
"8022",1.19712299905466
"139735",1.19639338157761
"401491",1.19572290339053
"729786",1.19529354689471
"3891",1.19518300887096
"3852",1.19353334510305
"200407",1.19279361456988
"126520",1.19256693190069
"677781",1.1921481226685
"25858",1.19195105163291
"2846",1.19187777257208
"84258",1.19107953471486
"124925",1.19082395966752
"349196",1.19025322644081
"353324",1.189944920782
"100038246",1.18758942501483
"340359",1.1875022688466
"8785",1.18717433626977
"9723",1.18714366380189
"55885",1.18698592335763
"84152",1.18688311155632
"1496",1.1855006853882
"3787",1.18528975634615
"6582",1.18518683686056
"196996",1.18491572309456
"8838",1.18458256597281
"777",1.18441564156172
"4884",1.18433742062183
"23563",1.18422014734914
"6098",1.18406520022261
"5225",1.18296064316023
"339535",1.1826854022371
"646600",1.18261803526888
"90134",1.18218903235536
"27004",1.18173640394987
"389903",1.18128000761757
"51198",1.18104438447102
"64063",1.18083992561126
"2565",1.18020028320324
"84623",1.17954466045509
"1826",1.17953350175387
"51305",1.17909797108699
"90226",1.17883488407226
"2911",1.17862544415059
"154822",1.17832985142757
"2831",1.17630381819545
"56137",1.17621868630127
"339240",1.17618663831771
"151835",1.1752213347032
"4488",1.17422722814691
"79820",1.17418389938578
"159296",1.17278197108662
"642938",1.17257498883675
"149775",1.17212702680646
"400804",1.17146195067031
"26102",1.17121744914134
"115350",1.16928810510776
"387273",1.16923193907027
"7044",1.16918953849241
"22989",1.16898087170158
"100130238",1.16713626263509
"340024",1.16663202520712
"56097",1.16642949859663
"23120",1.1662858759045
"158830",1.16615426647754
"5367",1.1641277843782
"9228",1.16403040201087
"9229",1.1629755469116
"347730",1.16169152858051
"4607",1.16086807307962
"28",1.16082818320386
"63970",1.16076888971497
"117245",1.16053270150156
"90737",1.16047349696411
"26059",1.15913858169891
"2897",1.15910181249552
"25794",1.15886510666599
"799",1.15833249872404
"64478",1.15770937104119
"255762",1.1570547128811
"1360",1.15641833309722
"6861",1.15595149083419
"3802",1.15574436099297
"4438",1.1555279845853
"353299",1.15477517911099
"131368",1.1538367101134
"143425",1.15325908008923
"54866",1.15301782352718
"664618",1.15299526816195
"100133234",1.15268765116543
"400735",1.15147244146741
"56158",1.15141643942013
"146845",1.15127597873161
"347487",1.15088949103002
"40",1.15078892508019
"8715",1.15032630482749
"8277",1.15011859527115
"9383",1.15003869075982
"116154",1.1499332149572
"54716",1.14875188225349
"8989",1.1487205834902
"25775",1.14852542098379
"128153",1.14780028116493
"25812",1.14730756619361
"3593",1.14674569646595
"606",1.14649595267435
"196335",1.14643586880635
"375607",1.14637106236878
"440854",1.14611342365551
"84109",1.14583794298283
"654231",1.14559671644114
"4081",1.14545682639902
"5409",1.14484219365339
"348938",1.14483960859656
"27121",1.14445225379597
"222659",1.14345575110838
"7490",1.1431331396311
"201780",1.1416595989305
"9437",1.14110917490635
"84101",1.14093513672929
"57116",1.14015202901379
"254122",1.14013053877564
"64180",1.14012398173688
"131177",1.13927586740431
"10141",1.13705468344522
"51450",1.13669128078656
"374973",1.13598124877179
"7139",1.13576097678008
"57615",1.13571109635301
"57495",1.13458542387713
"9024",1.13386683842501
"158800",1.13336755842664
"653333",1.13297804851275
"768097",1.13253573658458
"2069",1.13220248585767
"246213",1.13122160733523
"29765",1.13069605500187
"5301",1.13065164835872
"1961",1.13030285522349
"199675",1.1295351827084
"1158",1.12941707567236
"57540",1.12938097665207
"57830",1.12896212738265
"1580",1.12882408385959
"64433",1.12826771454642
"222696",1.12727111805673
"4608",1.12720836499964
"27035",1.12675778456723
"2898",1.12628399822422
"83942",1.12596942302165
"22865",1.12595941143631
"55586",1.12588481286711
"6456",1.12525220772232
"399823",1.12513223003555
"57111",1.12473862491846
"390072",1.12455925546615
"283446",1.12422265351568
"221711",1.12414520197585
"126859",1.12382424465884
"9705",1.12334201379737
"25823",1.12164942376692
"440905",1.1209279827487
"253559",1.11944653059867
"400508",1.1193934443267
"58495",1.11880949354551
"386757",1.11777352406141
"64377",1.11723962862609
"11063",1.1171869215809
"2900",1.11637039194927
"146713",1.11553317074149
"56",1.1152989218429
"56138",1.115180330052
"53832",1.11482824406321
"30820",1.11410686094021
"57709",1.11321723099258
"1395",1.11296708411028
"340286",1.11246036699074
"56033",1.11198792188892
"4225",1.11181868648989
"1821",1.11158301100127
"2692",1.11061350760562
"51384",1.1099289400864
"170261",1.1080326391647
"57497",1.10744171285559
"138065",1.10628263673704
"389396",1.10565168438495
"221122",1.105503025573
"6343",1.10515004873681
"79953",1.10506350436383
"6532",1.10468559173712
"162387",1.10441032514839
"148641",1.10427569551451
"54207",1.10420332192936
"9118",1.103806431449
"4319",1.10378012996158
"203447",1.10357185305723
"642968",1.10353813971315
"116931",1.10296364242779
"644997",1.1022453200466
"146439",1.10191003515806
"340419",1.10155858057503
"338707",1.10147945279198
"85016",1.10105232539898
"442319",1.10063566482985
"26289",1.09999693505372
"168433",1.09870753914272
"55282",1.09835517971013
"56145",1.09807797091517
"8999",1.09757092961831
"81491",1.09686446967473
"5079",1.09658566184791
"2825",1.09655329381945
"51555",1.09583885053409
"85319",1.09514776477998
"2571",1.09493683786781
"142680",1.09488280145077
"2662",1.09425133922926
"2570",1.09400816842032
"1006",1.09389569564728
"342977",1.09364048323305
"84553",1.0932378025329
"4888",1.09108973984932
"8343",1.09062430680076
"55211",1.09041934050116
"2974",1.09018289353237
"387628",1.0898661347468
"388394",1.08985267143623
"1269",1.08977689134653
"503645",1.08918158061384
"6538",1.08891013565867
"22997",1.08865041941258
"54798",1.08855614972078
"344657",1.08824716564528
"374877",1.08796805786706
"79368",1.08665482370698
"146849",1.08496620012506
"80059",1.08430272521515
"342125",1.08428808593169
"401463",1.08390541242951
"83869",1.08380353283843
"10279",1.08314739055251
"10223",1.08294378284989
"6010",1.08238441508792
"285847",1.08149135127161
"347404",1.08141960424152
"7471",1.0806000715726
"221687",1.07977041926329
"6545",1.07974088723228
"152756",1.0794744936166
"5020",1.07930572348455
"3786",1.07918307452508
"131096",1.0784378851266
"8995",1.07828009722071
"219621",1.07805498622456
"79933",1.07761095889547
"643210",1.07669540184064
"84700",1.0764608591467
"283652",1.07599941198706
"8360",1.07586401220701
"283238",1.07584303459534
"54845",1.07499141927106
"90161",1.07488920777877
"838",1.07475766371827
"574029",1.0742811267122
"163223",1.07409723721907
"140628",1.07396082180928
"2700",1.0738362341321
"259283",1.07368285365747
"3811",1.07280386417359
"342096",1.07203127418856
"56256",1.07138912998446
"653604",1.07097167285023
"55040",1.07085439208836
"212",1.07068315948848
"341208",1.07045862493822
"1470",1.07034878403466
"79849",1.07034214085119
"9721",1.06963368660571
"100130148",1.06896305065309
"54661",1.06840679719872
"130576",1.06766394214968
"56246",1.0674945006389
"64090",1.06704729341308
"56649",1.0668642705635
"442459",1.0664119079509
"284233",1.0659452346383
"84871",1.06584790796954
"9914",1.06508768124053
"7484",1.06482392437899
"10344",1.0638641134139
"429",1.06201699513658
"6557",1.06193773458788
"79444",1.06184737071017
"267020",1.05986429154273
"388795",1.05801588037413
"55190",1.05767729291265
"79949",1.05741595782807
"57554",1.05716409930249
"79931",1.05713400826734
"51127",1.05708833687642
"389206",1.05699066714857
"5746",1.05665971921726
"55714",1.05664822798314
"387837",1.05664651468934
"10744",1.05635456730945
"23418",1.05632423011382
"494551",1.05609189825808
"1143",1.05487223164262
"442720",1.05482099583744
"59353",1.05472254316773
"131",1.05425672172527
"3773",1.05350947824118
"51046",1.05331668767588
"5988",1.05329584921149
"56142",1.05314795854724
"64493",1.05291975047959
"652995",1.05202339013284
"100129354",1.05126795726294
"166863",1.05119720931563
"55289",1.0510253331205
"64714",1.05014708280252
"120939",1.04926110273691
"51209",1.04920215415158
"100302640",1.04863895740483
"7477",1.04851065287782
"55503",1.04830881789318
"60598",1.04821566177494
