"Gene","SYMBOL","CV","VIF","Category"
"1113","CHGA",1.58656534406631,54.7213411892962,"High_CV + High_VIF"
"196051","PLPP4",0.995605255533913,79.0923052836175,"High_CV + High_VIF"
"340706","VWA2",1.29740743662178,29.9936135411043,"High_CV + High_VIF"
"3589","IL11",1.00064466682877,45.555866192965,"High_CV + High_VIF"
"4146","MATN1",1.00504393278696,35.7644523776862,"High_CV + High_VIF"
"566","AZU1",1.25172427645793,61.9973662462818,"High_CV + High_VIF"
"6521","SLC4A1",1.24944163309759,63.4235176109005,"High_CV + High_VIF"
"84063","KIRREL2",1.65571893500592,51.2522733467465,"High_CV + High_VIF"
