"Pathway","n_genes","mean_CV","mean_VIF","high_CV_genes","high_VIF_genes","Name","noise_status","propagation_score"
"00534",23,0.300045974537811,2.3505852828095,8,1,"Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Homo sapiens (human)","NOISY",0.705283651914812
"05320",32,0.299443394641952,2.50081356031953,10,2,"Autoimmune thyroid disease - Homo sapiens (human)","NOISY",0.748852101868705
"00590",49,0.297362008457981,2.03748621683768,15,1,"Arachidonic acid metabolism - Homo sapiens (human)","NOISY",0.605870993644305
"04964",21,0.29631921042436,1.83608398679863,6,0,"Proximal tubule bicarbonate reclamation - Homo sapiens (human)","HIGH_CV_LOW_VIF",0.16138652292318
"04950",17,0.296100647630524,1.84697218154904,4,0,"Maturity onset diabetes of the young - Homo sapiens (human)","HIGH_CV_LOW_VIF",0.160316787977925
"04930",43,0.294819328675977,2.46665150837901,11,3,"Type II diabetes mellitus - Homo sapiens (human)","NOISY",0.727216541777886
"05144",47,0.29361186026206,2.00306314719868,16,0,"Malaria - Homo sapiens (human)","NOISY",0.588123096871382
"05330",32,0.291960648789313,2.55721201059471,10,2,"Allograft rejection - Homo sapiens (human)","NOISY",0.746605277705055
"04976",64,0.290879512681294,1.96982948956226,20,0,"Bile secretion - Homo sapiens (human)","HIGH_CV_LOW_VIF",0.147667356094834
"05146",96,0.28577744317821,2.37401548640536,27,3,"Amoebiasis - Homo sapiens (human)","NOISY",0.678440075770398
"00350",37,0.285480951549901,2.10304693417159,7,0,"Tyrosine metabolism - Homo sapiens (human)","NOISY",0.600379839921408
"04062",177,0.283208490682622,2.48350447794398,51,11,"Chemokine signaling pathway - Homo sapiens (human)","NOISY",0.703349554802048
"02010",42,0.282254624535096,2.55235100564316,10,2,"ABC transporters - Homo sapiens (human)","NOISY",0.720412874779587
"00592",13,0.271996155503138,1.79821769670401,4,0,"alpha-Linolenic acid metabolism - Homo sapiens (human)","HIGH_CV_LOW_VIF",0.151258746925739
"04310",140,0.271845378310557,2.10227006359133,40,1,"Wnt signaling pathway - Homo sapiens (human)","NOISY",0.571492400747943
"04350",81,0.268384240902245,2.26284299435113,17,1,"TGF-beta signaling pathway - Homo sapiens (human)","NOISY",0.60731139931989
"00360",17,0.267477078302127,1.94321801153011,3,0,"Phenylalanine metabolism - Homo sapiens (human)","HIGH_CV_LOW_VIF",0.137646458974263
"04650",111,0.266952481745793,2.48925173201958,29,7,"Natural killer cell mediated cytotoxicity - Homo sapiens (human)","NOISY",0.66451192755264
"00340",29,0.263917104966396,2.03513870772787,9,0,"Histidine metabolism - Homo sapiens (human)","NOISY",0.537107915948592
"05323",83,0.26366512183234,2.76134580682599,22,2,"Rheumatoid arthritis - Homo sapiens (human)","NOISY",0.728070578577998
"00860",40,0.261369731627708,1.99317995350654,9,0,"Porphyrin metabolism - Homo sapiens (human)","HIGH_CV_LOW_VIF",0.131132029081413
"00790",9,0.261131535710276,2.02955393253355,1,0,"Folate biosynthesis - Homo sapiens (human)","NOISY",0.529980535209317
"00604",15,0.260065601895919,1.9593894383193,4,0,"Glycosphingolipid biosynthesis - ganglio series - Homo sapiens (human)","HIGH_CV_LOW_VIF",0.13272787778166
"04540",79,0.252487329737097,2.1992772767899,18,1,"Gap junction - Homo sapiens (human)","NOISY",0.555289646968157
"04612",67,0.249759570473215,2.17681424328707,14,0,"Antigen processing and presentation - Homo sapiens (human)","NOISY",0.543680190403357
"04630",113,0.248502412907951,2.7074589639571,24,7,"JAK-STAT signaling pathway - Homo sapiens (human)","NOISY",0.6728100853926
"05218",61,0.243377082533268,2.30628634942956,14,3,"Melanoma - Homo sapiens (human)","NOISY",0.561297243210468
"00010",60,0.242412586353071,1.99802545222132,10,0,"Glycolysis / Gluconeogenesis - Homo sapiens (human)","HIGH_CV_LOW_VIF",0.121326075242719
"04975",33,0.240546317396098,1.8341295862077,9,0,"Fat digestion and absorption - Homo sapiens (human)","HIGH_CV_LOW_VIF",0.131150121128278
"04270",102,0.240344789585726,2.42356396949748,22,4,"Vascular smooth muscle contraction - Homo sapiens (human)","NOISY",0.582490972296419
"04510",193,0.238205640090302,2.36088045813759,36,6,"Focal adhesion - Homo sapiens (human)","NOISY",0.562375040707351
"05150",52,0.234242164806979,2.78831362552991,12,3,"Staphylococcus aureus infection - Homo sapiens (human)","MODERATE",NA
"00330",53,0.23310749152818,2.00029038839006,10,0,"Arginine and proline metabolism - Homo sapiens (human)","MODERATE",NA
"05200",309,0.23257868555787,2.29760452802428,67,11,"Pathways in cancer - Homo sapiens (human)","MODERATE",NA
"04912",87,0.232574039655827,2.1654667098777,18,3,"GnRH signaling pathway - Homo sapiens (human)","MODERATE",NA
"04960",35,0.231852870824338,2.35021020498332,7,2,"Aldosterone-regulated sodium reabsorption - Homo sapiens (human)","MODERATE",NA
"04670",106,0.231104573285152,2.68105422456777,17,8,"Leukocyte transendothelial migration - Homo sapiens (human)","MODERATE",NA
"04530",116,0.229782083307067,2.05564143046248,20,3,"Tight junction - Homo sapiens (human)","MODERATE",NA
"00533",15,0.228686601614472,2.00849570367215,2,0,"Glycosaminoglycan biosynthesis - keratan sulfate - Homo sapiens (human)","MODERATE",NA
"00565",29,0.225755977994884,1.91240679371324,6,0,"Ether lipid metabolism - Homo sapiens (human)","MODERATE",NA
"04012",84,0.225569825605776,2.28106107265385,17,3,"ErbB signaling pathway - Homo sapiens (human)","MODERATE",NA
"00740",9,0.225261530912456,1.8676754065589,2,0,"Riboflavin metabolism - Homo sapiens (human)","MODERATE",NA
"00120",16,0.224806607654299,2.19674437042664,5,0,"Primary bile acid biosynthesis - Homo sapiens (human)","MODERATE",NA
"04360",118,0.224347074495711,2.18989707540767,25,2,"Axon guidance - Homo sapiens (human)","MODERATE",NA
"04720",59,0.223491983202002,2.33060873168712,13,2,"Long-term potentiation - Homo sapiens (human)","MODERATE",NA
"04010",235,0.22267112140066,2.1870879713316,49,5,"MAPK signaling pathway - Homo sapiens (human)","MODERATE",NA
"00600",38,0.222422964960343,2.06238747582626,9,0,"Sphingolipid metabolism - Homo sapiens (human)","MODERATE",NA
"04145",143,0.222326298641788,2.36147244724092,27,2,"Phagocytosis - Homo sapiens (human)","MODERATE",NA
"05014",45,0.221759718143479,2.14074191572255,9,0,"Amyotrophic lateral sclerosis - Homo sapiens (human)","MODERATE",NA
"04810",192,0.221108605124715,2.61039808595511,38,9,"Regulation of actin cytoskeleton - Homo sapiens (human)","MODERATE",NA
"05140",68,0.217188730815873,2.37026327542639,14,1,"Leishmaniasis - Homo sapiens (human)","MODERATE",NA
"04730",53,0.216714838881828,2.17260636487896,12,1,"Long-term depression - Homo sapiens (human)","MODERATE",NA
"05142",102,0.216253207741583,2.41621895425036,23,6,"Chagas disease - Homo sapiens (human)","MODERATE",NA
"00920",12,0.215938241906384,2.01252518649198,2,0,"Sulfur metabolism - Homo sapiens (human)","MODERATE",NA
