"Gene","CV","Avg_Correlation","Combined_Score"
"4747",1.66114601351857,0.146051789729636,0.242613348276636
"10332",1.4153687190007,0.167152448336811,0.236582346680303
"3219",1.50105864325665,0.153452407909394,0.230341063220941
"84063",1.65571893500592,0.139023126999681,0.230183223777105
"139728",1.47431140289737,0.155298635619157,0.228958549347726
"11227",1.3998437924558,0.162858014385951,0.227975780489852
"655",1.58015333076458,0.143886252325778,0.22736234086381
"10021",1.33433424765504,0.168256971726645,0.224511039781589
"10562",1.55735268820308,0.143094495544489,0.222848597303274
"84634",1.49042930556439,0.147041262090068,0.219154606146211
"64063",1.18083992561126,0.183666153012435,0.21688032646051
"81706",1.28056939065053,0.168606309029981,0.215912078414357
"2902",1.40539959263443,0.15244448708785,0.21424542005263
"4884",1.18433742062183,0.180592614466652,0.213882591200787
"1015",1.31118246589777,0.163114967049366,0.213873484720621
"3359",1.53102490131769,0.139543415052676,0.213644443260558
"1755",1.27431621966948,0.167587502703497,0.213559472908968
"8120",1.4559605084037,0.145590726317567,0.211974347908189
"51146",1.51319225093698,0.139788727013307,0.211527218484881
"9348",1.33696355583326,0.157925466412287,0.211140593131197
"7368",1.35619596076513,0.155664823759962,0.211112005216477
"92737",1.60557243257531,0.130342907720335,0.209274979417479
"10942",1.4751238612205,0.14120746042448,0.208298494254501
"1474",1.36811678534806,0.151717755726519,0.207567608244787
"7483",1.28376319496735,0.161243147486115,0.206998018183366
"6528",1.44735533040372,0.14290312595971,0.206831601089141
"80258",1.50568097145131,0.137320955483908,0.206761549653633
"1821",1.11158301100127,0.185571705253881,0.206278354882749
"338707",1.10147945279198,0.18691835261168,0.205886724751491
"51208",1.34916543684663,0.152566597618702,0.205837580324439
"9506",1.43853938844205,0.141958086019517,0.204212298246919
"7425",1.55113840408866,0.131512831349848,0.203994603337184
"8091",1.40754832582028,0.144853532263113,0.203888346826099
"51450",1.13669128078656,0.178250492790998,0.202615780951435
"125965",1.35658096578834,0.148715531599588,0.201744659485096
"152404",1.31695802044113,0.153039246172165,0.201546262688698
"8538",1.3195397071377,0.152293855384809,0.200957789333342
"64208",1.67480112552308,0.119639383878228,0.200372174776144
"723809",1.27370568539242,0.156912269919054,0.199860050303729
"7138",1.26617746496835,0.157629201341887,0.199586542560056
"8193",1.37855915716261,0.143670202975322,0.198057873923041
"8913",1.30427665440495,0.150683947020844,0.196533554292879
"225689",1.28956594403844,0.151613286278153,0.195515330648057
"54854",1.30589279260968,0.149678493209373,0.195464065490797
"165545",1.35046875752204,0.144052272083053,0.194538092898227
"6331",1.23848607345753,0.156894945015672,0.194312204397794
"23532",1.24792452673223,0.1553152860676,0.19382175486019
"401562",1.47359984758982,0.131186346145592,0.19331617968601
"51761",1.29230016925822,0.148825437957183,0.192327138661996
"374407",1.30371454577009,0.147506434959963,0.192306284851994
"2020",1.43313995376865,0.134039982186917,0.192098053874509
"54845",1.07499141927106,0.178458897372103,0.191841783367585
"284749",1.23195648354755,0.155557930440586,0.191640600973519
"400823",1.37828664636065,0.139039312977109,0.191636028395508
"269",1.413381833297,0.13557628027859,0.191621051571742
"794",1.30189151329495,0.146689442232884,0.190973739932962
"22871",1.45280830388876,0.131295451241538,0.190747121826529
"1272",1.53415818639164,0.1241305598004,0.190435914499161
"2297",1.28005154297495,0.148720410744333,0.190369791245152
"6664",1.19726850979134,0.158993146594699,0.190357487690471
"3866",1.45263230780243,0.131001297817421,0.190296717573634
"7031",1.50186905454797,0.126703274105369,0.190291726488762
"1301",1.04819042780428,0.180853806090488,0.189569228376022
"10279",1.08314739055251,0.174555982575271,0.189069857031735
"26762",1.30665677596433,0.143940324142654,0.188080599875501
"353324",1.189944920782,0.157651446725981,0.187596538285516
"56000",1.30944203027534,0.143256344294053,0.187585878322229
"84189",1.26739657596678,0.147951269619103,0.187512932525189
"440184",1.22656075638934,0.152756349397801,0.187364943460642
"7032",1.45525240548113,0.128730942168739,0.187336013250911
"7477",1.04851065287782,0.178382283749898,0.187035724796443
"6549",1.36783484774702,0.13660171210053,0.186848582073011
"4680",1.33717136661918,0.139191706802561,0.186123164807236
"146439",1.10191003515806,0.168741377835919,0.185937817583797
"79570",1.27344976137274,0.145793373590919,0.185660536809083
"9723",1.18714366380189,0.156336038364456,0.185593337368252
"84929",1.32604759200663,0.139343378735144,0.184775951833805
"5083",1.40840436528901,0.130743724278639,0.184140032008178
"3223",1.28923419684644,0.14281425978159,0.184121027507736
"51252",1.55685642914263,0.118180034757855,0.183989346909066
"7278",1.59803225185737,0.114871673128732,0.183568638484531
"4111",1.53012010741967,0.11987878100774,0.183428933272902
"130576",1.06766394214968,0.171770311541113,0.183392967964263
"644809",1.32823965914485,0.13772751306935,0.182935145014101
